Kommundel	Gatuadress	Boyta/m²	Biyta/m²	Antal rum	Tomtyta	Försäljningspris	Kronor/m²	lat	long	Datum
Täby kommun	Ankarvägen 6	145	46		1324	17000000	117200	59.42079007	18.09331861	2025-12-11
Näsby Park	Skördevägen 21	186	322	5	1811	13500000	72600	59.439338	18.098612	2025-11-28
Näsby Park	Höglandsvägen 26	267	43	8	1003	18900000	70800	59.42956205	18.10220317	2025-11-23
Lahäll	Hästskovägen 4	164	27	7	1816	13000000	79300	59.42478452	18.07022327	2025-11-21
Näsbypark Sjösidan	Måsvägen 10	186	11	6	1000	18425000	99100	59.42997424	18.10433561	2025-11-21
Näsbypark	Utsiktsvägen 10	164	30		1324			59.42062136	18.09305306	2025-11-21
Lahäll	Djursholmsvägen 9	150		5	974	17000000	103700	59.42455996	18.07754396	2025-11-14
Lahäll	Lahällsvägen 13	147	35	5	982	10000000	68000	59.42464068	18.07233716	2025-11-07
Näsbypark Sjösidan	Orrspelsvägen 2	228	4	5	1056	14650000	64300	59.43217276	18.10382763	2025-11-07
Park	Orrvägen 34	160	22	6	553	7325000	45800	59.43653207	18.08710985	2025-11-04
Näsbypark	Torpvägen 24	241	36	7	1544	17000000	70500	59.42023979	18.09411315	2025-11-01
Täby kommun	Djursholmsvägen 50	100	50		1193	13640000	136400	59.42833984	18.09402569	2025-10-31
Näsby Park Sjösidan	Solvägen 2	196	42	8	1050	16225000	82800	59.42715657	18.09886653	2025-10-29
Lahäll	Lyckostigen 14	363			2545	17500000	48200	59.42569161	18.07559707	2025-10-28
Näsbypark	Djursholmsvägen 71	140	76	7	1738	11325000	80900	59.431796	18.097569	2025-10-23
Näsby Park	Orrvägen 9	160	38	6	667	9450000	59100	59.434729	18.089494	2025-09-29
Park	Tibblevägen 51	158	52	6	1153	10350000	65500	59.430556	18.07479	2025-09-26
Näsby Park	Askrikevägen 3	180		7	1778	12750000	70800	59.43328477	18.0958181	2025-09-20
Park	Granliden 12	186	112	10	1504	15500000	83300	59.42543763	18.10044468	2025-09-18
Lahäll	Gränsvägen 9	180	176	8	1709	13150000	73100	59.424753	18.065129	2025-09-18
Lahäll	Älgstigen 15	144	90		1527	12000000	83300	59.42416617	18.06322672	2025-09-16
